,a,b,c
0,2,0.01192284313497086,1.6633059519183895
1,3,-0.22538516413691126,1.9407263834647592
2,4,-0.2679235199552881,2.041171185796622
3,5,-0.30418141628493506,1.7613772370040344
4,6,-0.31363390243299305,1.6538495331128833
5,7,-0.32182803994782416,1.4957727300594617
6,8,-0.33369077738357467,1.4445700685648355
7,9,-0.3324219534685132,1.4211083343902196
8,10,-0.27228402152164494,1.3406799134926246
9,11,-0.3269588945842522,1.3374090826491736
10,12,-0.2309706288636875,1.2997407771977907
11,13,-0.2244377639553191,1.3320837574760913
12,14,-0.2958255851062781,1.2997377666640648
13,15,-0.29084515306536657,1.355927620335434
14,16,-0.22783547243851832,1.2686086696384624
15,17,-0.22581622512640515,1.2686968066453945
16,18,-0.23372084148328923,1.2633071736993717
17,19,-0.23197382268161063,1.264846321966473
18,20,-0.23934252377749582,1.2398785466616222
19,21,-0.24195151316713645,1.2234306545289932
20,22,-0.24393284255519893,1.2161163563898336
21,23,-0.23712468260048444,1.2222798085933977
22,24,-0.24006498607599525,1.1948440635094837
23,25,-0.23948215009397958,1.1699000057407898
24,26,-0.25215552513654993,1.162152035685017
25,27,-0.24540340823399565,1.1670182271474385
26,28,-0.22653529253675078,1.1578883133665925
27,29,-0.23013856005162678,1.1377045397737535
28,30,-0.21902051646730142,1.1563923566485874
29,31,-0.23251550883276473,1.1670518236074845
30,32,-0.2223852540149928,1.1646681145682791
31,33,-0.23668617569799885,1.185283217032323
32,34,-0.24222638602302204,1.1829625421613126
33,35,-0.2356120936384752,1.1845693329571882
34,36,-0.23701771798042787,1.1682928498794765
35,37,-0.2429384222999031,1.1686781383398555
36,38,-0.24122330113309162,1.1712991147842362
37,39,-0.2418766147843357,1.167679801979861
38,40,-0.2546102950476345,1.1960085284003514
39,41,-0.24495326438274068,1.1983029809858952
40,42,-0.2536816836005084,1.186157858541073
41,43,-0.26649552501018436,1.130949265531581
42,44,-0.2556165812659145,1.1724776705659306
43,45,-0.2523784978046377,1.173604397587206
44,46,-0.25207444083900626,1.2006995121548758
45,47,-0.25314077719717254,1.199666376699219
46,48,-0.25766519934672477,1.196515891160134
47,49,-0.21028926510189072,1.1501961890986885
48,50,-0.19332940069239138,1.1800467058142259
49,51,-0.20669437132997742,1.2170227377427383
50,52,-0.19466636938709553,1.22313195603879
51,53,-0.2092564679927094,1.2050752615016067
52,54,-0.20969146937454375,1.2079075371626995
53,55,-0.2367368234210797,1.2594172791163258
54,56,-0.18905348831884117,1.2448937047116677
55,57,-0.19649197837360882,1.2355426066409851
56,58,-0.19422642835667267,1.242627420100304
57,59,-0.19867487270544532,1.2342990608443225
58,60,-0.19609491106626234,1.236251429634992
59,61,-0.19050522933057915,1.2512545217765487
60,62,-0.1888257161085614,1.3046463517290852
61,63,-0.19584686257725434,1.308238788969446
62,64,-0.20704058746030596,1.3258097554613644
63,65,-0.20781732068588635,1.32357020450328
64,66,-0.2106412111602467,1.315581893411586
65,67,-0.2137579145650768,1.3367779292737434
66,68,-0.21832545108646964,1.412631199068982
67,69,-0.20337540146363403,1.5299018297893656
68,70,-0.2053398864137357,1.5277999802688806
69,71,-0.21011999137801576,1.516306933590959
70,72,-0.2008040201607686,1.5748213253095866
71,73,-0.20310274215703886,1.5702729602001309
72,74,-0.20268331132365416,1.5665682239661194
73,75,-0.19803064239348792,1.5767831549159244
74,76,-0.19626630242921433,1.5751265409300077
75,77,-0.20341577939914632,1.5674077791427459
