,0
0,171821
1,4
2,123402
3,17487
4,2
5,17
6,109
7,55502
8,12
9,1353
10,863
11,285
12,4
13,2508
14,270
15,290
16,1361
17,2
18,532
19,13871
20,6
21,119
22,314
23,392
24,1
25,2694
26,11
27,16
28,731
29,194
30,4719
31,342
32,1
33,2
34,876
35,582
36,5138
37,168
38,92
39,6
40,627
41,3
42,92
43,8
44,503
45,365
46,1
47,1
48,263
49,356
50,46
51,383
52,1
53,774
54,79
55,1
56,434
57,2
58,1675
59,96
60,9
61,196
62,287
63,284
64,21
65,5
66,3
67,380
68,65
69,59
70,156
71,313
72,13
73,37
74,63
75,153
76,37
77,29
78,45
79,134
80,77
81,4600
82,127
83,1438
84,2
85,255
86,408
87,13
88,2492
89,1141
90,1854
91,138
92,78
93,383
94,5
95,661
96,1211
97,82
98,367
99,41
100,386
101,997
102,776
103,85
104,3
105,3
106,810
107,890
108,117
109,1687
110,8
111,4
112,1
113,49
114,46
115,1
116,224
117,484
118,1161
119,52
120,6473
121,3116
122,192
123,50
124,594
125,14
126,341
127,50
128,118
129,144
130,51
131,3
132,43
133,2364
134,199
135,272
136,137
137,1249
138,219
139,57
140,4
141,7
142,83
143,4328
144,73
145,39
146,2639
147,117
148,115
149,223
150,3
151,29
152,1320
153,20
154,361
155,3
156,6
157,24
158,158
159,224
160,116
161,2597
162,97
163,368
164,1
165,14
166,390
167,90
168,67
169,8
170,85
171,36
172,75
173,21
174,92
175,2
176,76
177,8
178,120
179,67
180,28
181,219
182,23
183,54
184,8
185,100
186,445
187,507
188,874
189,4
190,11
191,369
192,12
193,983
194,77
195,1732
196,554
197,8
198,15
199,401
200,43
201,3
202,669
203,102
204,31
205,2208
206,79
207,27
208,41
209,1937
210,992
211,47
212,366
213,1
214,1112
215,1099
216,122
217,590
218,172
219,343
220,81
221,111
222,201
223,470
224,1
225,2
226,1
227,1
228,1
229,140
230,122
231,39
232,91
233,109
234,231
235,69
236,1
237,12
238,1
239,259
240,224
241,55
242,548
243,19
244,51
245,150
246,545
247,99
248,10
249,12
250,1814
251,44
252,90
253,1
254,26
255,286
256,217
257,112
258,124
259,34
260,1
261,30
262,483
263,12
264,2
265,63
266,43
267,81
268,39
269,1
270,1
271,1
272,1
273,1
274,34
275,150
276,1
277,88
278,13
279,258
280,185
281,81
282,1718
283,103
284,31
285,201
286,1166
287,237
288,221
289,143
290,15
291,508
292,1
293,152
294,491
295,94
296,211
297,38
298,14
299,16
300,12
301,229
302,1
303,1519
304,20
305,1161
306,27
307,1299
308,79
309,28
310,1438
311,29
312,124
313,217
314,158
315,20
316,209
317,375
318,78
319,22
320,34
321,191
322,7
323,18
324,7
325,189
326,140
327,72
328,811
329,8
330,717
331,9
332,762
333,66
334,58
335,162
336,164
337,77
338,43
339,2
340,324
341,141
342,389
343,2
344,55
345,18
346,42
347,611
348,215
349,39
350,273
351,95
352,39
353,1966
354,98
355,73
356,375
357,55
358,151
359,1462
360,458
361,141
362,593
363,319
364,2
365,137
366,446
367,91
368,9
369,4
370,4
371,2
372,332
373,18
374,9
375,85
376,316
377,49
378,7
379,142
380,574
381,51
382,43
383,104
384,432
385,4
386,9
387,265
388,54
389,471
390,10
391,45
392,47
393,72
394,2234
395,501
396,318
397,40
398,143
399,920
400,19
401,196
402,3
403,1
404,66
405,4
406,28
407,68
408,3
409,3
410,27
411,68
412,88
413,44
414,21
415,17
416,247
417,51
418,423
419,1
420,32
421,327
422,534
423,108
424,152
425,74
426,9
427,25
428,108
429,30
430,358
431,109
432,118
433,1
434,43
435,1
436,38
437,108
438,204
439,1
440,49
441,131
442,96
443,1
444,2
445,4
446,22
447,10
448,44
449,356
450,44
451,288
452,235
453,18
454,8
455,3
456,567
457,26
458,168
459,533
460,36
461,11
462,92
463,1
464,218
465,162
466,56
467,3
468,130
469,50
470,595
471,192
472,17
473,2
474,50
475,8
476,231
477,113
478,247
479,326
480,1
481,28
482,53
483,41
484,101
485,14
486,77
487,1646
488,9
489,348
490,111
491,4
492,13
493,431
494,105
495,450
496,20
497,54
498,1
499,668
500,273
501,77
502,33
503,12
504,18
505,6
506,613
507,1
508,124
509,58
510,1
511,148
512,72
513,16
514,204
515,92
516,39
517,51
